common_name,scientific_name,scientific_name_url,species_grp,global_conservation_status_rank,state_conservation_status_rank,federal_legal_status,state_legal_status,statewide_occurrences,virginia_coastal_zone
Mabee's Salamander,Ambystoma mabeei,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.101261,AMPHIBIANS,G4,S1S2,None,LT,18,Y
Tiger Salamander,Ambystoma tigrinum,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.889738,AMPHIBIANS,G5,S1,None,LE,13,Y
Oak Toad,Anaxyrus quercicus,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.102537,AMPHIBIANS,G5,S2,None,None,10,Y
Barking Treefrog,Hyla gratiosa,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.106453,AMPHIBIANS,G5,S2S3,None,None,28,Y
Lesser Siren,Siren intermedia,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.102332,AMPHIBIANS,G5,S2S3,None,None,12,Y
Great Egret,Ardea alba,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.103493,BIRDS,G5,"S2S3B,S3N",None,None,12,Y
American Bittern,Botaurus lentiginosus,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.103409,BIRDS,G5,"S1B,S2N",None,None,3,Y
Piping Plover,Charadrius melodus,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.106046,BIRDS,G3,"S2B,S1N",LT,LT,16,Y
Wilson's Plover,Charadrius wilsonia,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.104251,BIRDS,G5,S1B,None,LE,11,Y
Northern Harrier,Circus hudsonius,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.104766,BIRDS,G5,"S1S2B,S3N",None,None,15,Y
Sedge Wren,Cistothorus stellaris,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.1216384,BIRDS,G5,"S1B,S1S2N",None,None,5,Y
Red-cockaded Woodpecker,Dryobates borealis,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.103433,BIRDS,G3,S1,LE,LE,8,Y
Snowy Egret,Egretta thula,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.100485,BIRDS,G5,"S2B,S3N",None,None,10,Y
Peregrine Falcon,Falco peregrinus,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.102654,BIRDS,G4,"S1B,S2N",None,LT,42,Y
Common Gallinule,Gallinula galeata,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.872346,BIRDS,G5,"S1B,S1N",None,None,3,Y
Gull-billed Tern,Gelochelidon nilotica,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.102273,BIRDS,G5,S2B,None,LT,19,Y
Black-necked Stilt,Himantopus mexicanus,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.105198,BIRDS,G5,S1B,None,None,2,Y
Black Rail,Laterallus jamaicensis,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.105641,BIRDS,G3,"S1B,S1N",LT,LE,23,Y
Swainson's Warbler,Limnothlypis swainsonii,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.103514,BIRDS,G4,S2B,None,None,17,Y
Yellow-crowned Night-heron,Nyctanassa violacea,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.106355,BIRDS,G5,"S2S3B,S3N",None,None,10,Y
Pied-billed Grebe,Podilymbus podiceps,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.100209,BIRDS,G5,"S1B,S4N",None,None,3,Y
King Rail,Rallus elegans,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.962122,BIRDS,G4,"S2B,S3N",None,None,12,Y
Virginia Rail,Rallus limicola,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.106335,BIRDS,G5,"S2B,S3N",None,None,10,Y
Black Skimmer,Rynchops niger,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.105078,BIRDS,G5,"S2B,S1N",None,None,19,Y
Wayne's Black-throated Green Warbler,Setophaga virens waynei,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.102666,BIRDS,G5T1,S1B,SOC,None,1,Y
Common Tern,Sterna hirundo,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.101840,BIRDS,G5,S2B,None,None,2,Y
Least Tern,Sternula antillarum,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.101508,BIRDS,G4,S2B,None,None,18,Y
Royal Tern,Thalasseus maximus,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.1168678,BIRDS,G5,S1B,None,None,6,Y
Sandwich Tern,Thalasseus sandvicensis,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.103220,BIRDS,G5,S1B,None,None,4,Y
Yellow Lance,Elliptio lanceolata,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.110016,BIRDS,G2,S2,LT,LT,46,N
Atlantic Pigtoe,Fusconaia masoni,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.1066291,BIRDS,G1,S2,LT,LT,30,N
Yellow Lampmussel,Lampsilis cariosa,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.109623,BIRDS,G3G4,S2,None,None,29,N
Eastern Lampmussel,Lampsilis radiata,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.1066824,BIRDS,G5,S2S3,None,None,20,Y
Orange-bellied Tiger Beetle,Cicindela abdominalis,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.114628,BIRDS,G3G4,S1,None,None,2,N
Northeastern Beach Tiger Beetle,Cicindela dorsalis dorsalis,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.109729,BIRDS,G3G4T2,S2,LT,LT,18,Y
A Tiger Beetle,Cicindela gratiosa,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.112381,BIRDS,G3G4,S1,None,None,1,Y
A Tiger Beetle,Cicindela trifasciata,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.112382,BIRDS,G5,S1,None,None,6,Y
Phreatic Isopod,Caecidotea phreatica,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.109887,BIRDS,G2G3,S1S3,SOC,None,3,Y
Ohio River Shrimp,Macrobrachium ohione,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.113809,BIRDS,G4,S1,None,None,5,Y
Southeastern Myotis Bat Fly,Basilia boardmanni,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.119833,BIRDS,G3,S1S2,None,None,2,N
Spieth's Great Speckled Olive Mayfly,Siphloplecton costalense,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.111374,BIRDS,G2G4,SH,None,None,1,N
Atlantic Sturgeon,Acipenser oxyrinchus,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.102787,FISH,G3,S2,LE,LE,4,Y
Lake Chubsucker,Erimyzon sucetta,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.104017,FISH,G5,S2,None,None,12,Y
Roanoke Logperch,Percina rex,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.102785,FISH,G1G2,S1S2,LE,LE,21,N
A Mirid Bug,Bothynotus johnstoni,https://explorer.natureserve.org/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.117688,FISH,G3,S1S3,None,None,1,Y
