species_grp,order,family,species_code,common_name,scientific_name,count_2021,count_2020,count_5yr,cons_status,cons_score,cons_desc,diff,abs_diff,perc_diff,peak_month,native,description,image_url,website
birds,Columbiformes,Columbidae: Pigeons and Doves,moudov,Mourning dove,Zenaida macroura,11341,14762,60948,Least Concern,0.26666666666666666,Notable decrease in sightings from 2020-2021. Very high populations reported in last 5 years. Notable decrease in population in last 5 years.,Negative,-3421,-0.23174366616989567,January,Native,"The mourning dove (Zenaida macroura) is a member of the dove family, Columbidae. The bird is also known as the American mourning dove, the rain dove, and colloquially as the turtle dove, and was once known as the Carolina pigeon and Carolina turtledove.[2] It is one of the most abundant and widespread of all North American birds and a popular gamebird, with more than 20 million birds (up to 70 million in some years) shot annually in the U.S., both for sport and meat. Its ability to sustain its population under such pressure is due to its prolific breeding; in warm areas, one pair may raise up to six broods of two young each in a single year. The wings make an unusual whistling sound upon take-off and landing, a form of sonation. The bird is a strong flier, capable of speeds up to 88 km/h (55 mph).[3]",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Mourning_Dove_2006.jpg/220px-Mourning_Dove_2006.jpg,https://en.wikipedia.org/wiki/Mourning_dove
birds,Passeriformes,Sittidae: Nuthatches,whbnut,White-breasted nuthatch,Sitta carolinensis,2956,3601,15165,Least Concern,0.4166666666666667,Very high populations reported in last 5 years.,Negative,-645,-0.17911691196889754,January,Native,"The white-breasted nuthatch breeds throughout much of North America, except in the cooler and drier areas. It is mainly found at low altitudes, in deciduous forests or in mixed woodlands. Seven to nine subspecies are generally distinguished by their slightly distinct distributions, vocalizations, and coloration. The species was once thought to be related to the white-cheeked nuthatch (S. leucopsis) and Przewalski's nuthatch (S. przewalskii), two species from southern Asia, but is actually more closely related to the giant nuthatch (S. magna), also from Southeast Asia. The species enjoys a very wide distribution and its population is said to be increasing; the International Union for the Conservation of Nature therefore considers it to be of ""least concern.""",https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Sitta-carolinensis-001.jpg/220px-Sitta-carolinensis-001.jpg,https://en.wikipedia.org/wiki/White-breasted_nuthatch
birds,Passeriformes,Passerellidae: New World Sparrows and Towhees,daejun,Dark-eyed junco,Junco hyemalis,5557,6139,35003,Least Concern,0.3333333333333333,Very high populations reported in last 5 years. Notable decrease in population in last 5 years.,Negative,-582,-0.09480371395992832,January,Native,"The dark-eyed junco (Junco hyemalis) is a species of junco, a group of small, grayish New World sparrows. This bird is common across much of temperate North America and in summer ranges far into the Arctic. It is a very variable species, much like the related fox sparrow (Passerella iliaca), and its systematics are still not completely untangled.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Dark-eyed_Junco%2C_Washington_State_02.jpg/220px-Dark-eyed_Junco%2C_Washington_State_02.jpg,https://en.wikipedia.org/wiki/Dark-eyed_junco
birds,Passeriformes,Passeridae: Old World Sparrows,houspa,House sparrow,Passer domesticus,1594,4014,18838,Least Concern,-0.03333333333333332,Notable decrease in sightings from 2020-2021. Very high populations reported in last 5 years. Notable decrease in population in last 5 years.,Negative,-2420,-0.6028898854010961,January,Native,"The house sparrow (Passer domesticus) is a bird of the sparrow family Passeridae, found in most parts of the world. It is a small bird that has a typical length of 16 cm (6.3 in) and a mass of 24–39.5 g (0.85–1.39 oz). Females and young birds are coloured pale brown and grey, and males have brighter black, white, and brown markings. One of about 25 species in the genus Passer, the house sparrow is native to most of Europe, the Mediterranean Basin, and a large part of Asia. Its intentional or accidental introductions to many regions, including parts of Australasia, Africa, and the Americas, make it the most widely distributed wild bird.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/House_Sparrow%2C_England_-_May_09.jpg/220px-House_Sparrow%2C_England_-_May_09.jpg,https://en.wikipedia.org/wiki/House_sparrow
birds,Passeriformes,Passerellidae: New World Sparrows and Towhees,eastow,Eastern towhee,Pipilo erythrophthalmus,1155,1331,6720,Least Concern,0.3333333333333333,Very high populations reported in last 5 years. Notable decrease in population in last 5 years.,Negative,-176,-0.1322314049586777,January,Native,"The eastern towhee (Pipilo erythrophthalmus) is a large New World sparrow. The taxonomy of the towhees has been under debate in recent decades, and formerly this bird and the spotted towhee were considered a single species, the rufous-sided towhee.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Pipilo_erythrophthalmus_-Quabbin_Reservoir%2C_Massachusetts%2C_USA_-male-8.jpg/220px-Pipilo_erythrophthalmus_-Quabbin_Reservoir%2C_Massachusetts%2C_USA_-male-8.jpg,https://en.wikipedia.org/wiki/Eastern_towhee
birds,Passeriformes,Paridae: Chickadees and Titmice,tuftit,Tufted titmouse,Baeolophus bicolor,8523,10613,43139,Least Concern,0.4166666666666667,Very high populations reported in last 5 years.,Negative,-2090,-0.1969282954866673,January,Native,"The tufted titmouse (Baeolophus bicolor) is a small songbird from North America, a species in the tit and chickadee family (Paridae). The black-crested titmouse, found from central and southern Texas southward,[2] was included as a subspecies, but now is considered a separate species, Baeolophus atricristatus.[3]",https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/TuftedTitmouse_Gam.jpg/220px-TuftedTitmouse_Gam.jpg,https://en.wikipedia.org/wiki/Tufted_titmouse
birds,Passeriformes,Passerellidae: New World Sparrows and Towhees,chispa,Chipping sparrow,Spizella passerina,4177,3737,15241,Least Concern,0.4166666666666667,Very high populations reported in last 5 years.,Positive,440,0.11774150388011774,January,Native,"The chipping sparrow (Spizella passerina) is a species of New World sparrow, a passerine bird in the family Passerellidae. It is widespread, fairly tame, and common across most of its North American range.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Spizella-passerina-015_edit.jpg/220px-Spizella-passerina-015_edit.jpg,https://en.wikipedia.org/wiki/Chipping_sparrow
birds,Passeriformes,Troglodytidae: Wrens,carwre,Carolina wren,Thryothorus ludovicianus,5539,7453,29401,Least Concern,0.35000000000000003,Notable decrease in sightings from 2020-2021. Very high populations reported in last 5 years.,Negative,-1914,-0.25680933852140075,January,Native,"The Carolina wren (Thryothorus ludovicianus) is a common species of wren that is a resident in the eastern half of the United States of America, the extreme south of Ontario, Canada, and the extreme northeast of Mexico. Severe winters restrict the northern limits of their range while favorable weather conditions lead to a northward extension of their breeding range. Their preferred habitat is in dense cover in forest, farm edges and suburban areas. This wren is the state bird of South Carolina.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Carolina_Wren1.jpg/220px-Carolina_Wren1.jpg,https://en.wikipedia.org/wiki/Carolina_wren
birds,Passeriformes,Paridae: Chickadees and Titmice,y00033,Carolina chickadee,Poecile carolinensis,875,1578,7282,Least Concern,0.2,Notable decrease in sightings from 2020-2021. Very high populations reported in last 5 years. Notable decrease in population in last 5 years.,Negative,-703,-0.44550063371356147,December,Native,The Carolina chickadee (Poecile carolinensis) is a small passerine bird in the tit family Paridae.,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Carolina_Chickadee1_by_Dan_Pancamo.jpg/220px-Carolina_Chickadee1_by_Dan_Pancamo.jpg,https://en.wikipedia.org/wiki/Carolina_chickadee
birds,Passeriformes,"Cardinalidae: Tanagers, Cardinals, Grosbeaks & Dickcissels",norcar,Northern cardinal,Cardinalis cardinalis,15394,18072,78041,Least Concern,0.4166666666666667,Very high populations reported in last 5 years.,Negative,-2678,-0.1481850376272687,January,Native,"The northern cardinal (Cardinalis cardinalis) is a bird in the genus Cardinalis; it is also known colloquially as the redbird, common cardinal, red cardinal, or just cardinal (which was its name prior to 1985). It can be found in southeastern Canada, through the eastern United States from Maine to Minnesota to Texas, New Mexico, southern Arizona, southern California, and south through Mexico, Belize, and Guatemala. It is also an introduced species in a few locations such as Bermuda and Hawaii. Its habitat includes woodlands, gardens, shrublands, and wetlands.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Male_northern_cardinal_in_Central_Park_%2852612%29.jpg/220px-Male_northern_cardinal_in_Central_Park_%2852612%29.jpg,https://en.wikipedia.org/wiki/Northern_cardinal
