,common_name,scientific_name,Norfolk_count,Norfolk_density,Newport_News_count,Newport News_density,Chesapeake_count,Chesapeake_density,Franklin_count,Franklin_density,Hampton_count,Hampton_density,Poquoson_count,Poquoson_density,Suffolk_count,Suffolk_density,Virginia_Beach_count,Virginia Beach_density,Williamsburg_count,Williamsburg_density,Gloucester_count,Gloucester_density,Isle_of_Wight_count,Isle of Wight_density,Surry_count,Surry_density,Smithfield_count,Smithfield_density,York_count,York_density
0,Great Blue Heron,Ardea herodias,35.0,0.3630705394190871,118.0,0.9866220735785953,10.0,0.02849002849002849,1.0,0.11961722488038279,121.0,0.8877476155539251,19.0,0.24216161101198064,20.0,0.046620046620046623,221.0,0.44466800804828976,66.0,7.252747252747253,11.0,1.5316067947646894,0.0,0.0,43.0,52.02271577933658,5.0,0.4694835680751174,50.0,0.23255813953488372
1,Black Vulture,Coragyps atratus,35.0,0.3630705394190871,118.0,0.9866220735785953,10.0,0.02849002849002849,1.0,0.11961722488038279,121.0,0.8877476155539251,19.0,0.24216161101198064,20.0,0.046620046620046623,221.0,0.44466800804828976,66.0,7.252747252747253,11.0,1.5316067947646894,0.0,0.0,43.0,52.02271577933658,5.0,0.4694835680751174,50.0,0.23255813953488372
2,Turkey Vulture,Cathartes aura,35.0,0.3630705394190871,118.0,0.9866220735785953,10.0,0.02849002849002849,1.0,0.11961722488038279,121.0,0.8877476155539251,19.0,0.24216161101198064,20.0,0.046620046620046623,221.0,0.44466800804828976,66.0,7.252747252747253,11.0,1.5316067947646894,0.0,0.0,43.0,52.02271577933658,5.0,0.4694835680751174,50.0,0.23255813953488372
3,American Beaver,Castor canadensis,35.0,0.3630705394190871,118.0,0.9866220735785953,10.0,0.02849002849002849,1.0,0.11961722488038279,121.0,0.8877476155539251,19.0,0.24216161101198064,20.0,0.046620046620046623,221.0,0.44466800804828976,66.0,7.252747252747253,11.0,1.5316067947646894,0.0,0.0,43.0,52.02271577933658,5.0,0.4694835680751174,50.0,0.23255813953488372
4,Canada Goose,Branta canadensis,35.0,0.3630705394190871,118.0,0.9866220735785953,10.0,0.02849002849002849,1.0,0.11961722488038279,121.0,0.8877476155539251,19.0,0.24216161101198064,20.0,0.046620046620046623,221.0,0.44466800804828976,66.0,7.252747252747253,11.0,1.5316067947646894,0.0,0.0,43.0,52.02271577933658,5.0,0.4694835680751174,50.0,0.23255813953488372
5,Bald Eagle,Haliaeetus leucocephalus,35.0,0.3630705394190871,118.0,0.9866220735785953,10.0,0.02849002849002849,1.0,0.11961722488038279,121.0,0.8877476155539251,19.0,0.24216161101198064,20.0,0.046620046620046623,221.0,0.44466800804828976,66.0,7.252747252747253,11.0,1.5316067947646894,0.0,0.0,43.0,52.02271577933658,5.0,0.4694835680751174,50.0,0.23255813953488372
6,American Alligator,Alligator mississippiensis,35.0,0.3630705394190871,118.0,0.9866220735785953,10.0,0.02849002849002849,1.0,0.11961722488038279,121.0,0.8877476155539251,19.0,0.24216161101198064,20.0,0.046620046620046623,221.0,0.44466800804828976,66.0,7.252747252747253,11.0,1.5316067947646894,0.0,0.0,43.0,52.02271577933658,5.0,0.4694835680751174,50.0,0.23255813953488372
9,Ring-billed Gull,Larus delawarensis,35.0,0.3630705394190871,118.0,0.9866220735785953,10.0,0.02849002849002849,1.0,0.11961722488038279,121.0,0.8877476155539251,19.0,0.24216161101198064,20.0,0.046620046620046623,221.0,0.44466800804828976,66.0,7.252747252747253,11.0,1.5316067947646894,0.0,0.0,43.0,52.02271577933658,5.0,0.4694835680751174,50.0,0.23255813953488372
10,Double-crested Cormorant,Phalacrocorax auritus,35.0,0.3630705394190871,118.0,0.9866220735785953,10.0,0.02849002849002849,1.0,0.11961722488038279,121.0,0.8877476155539251,19.0,0.24216161101198064,20.0,0.046620046620046623,221.0,0.44466800804828976,66.0,7.252747252747253,11.0,1.5316067947646894,0.0,0.0,43.0,52.02271577933658,5.0,0.4694835680751174,50.0,0.23255813953488372
11,Mourning Dove,Zenaida macroura,35.0,0.3630705394190871,118.0,0.9866220735785953,10.0,0.02849002849002849,1.0,0.11961722488038279,121.0,0.8877476155539251,19.0,0.24216161101198064,20.0,0.046620046620046623,221.0,0.44466800804828976,66.0,7.252747252747253,11.0,1.5316067947646894,0.0,0.0,43.0,52.02271577933658,5.0,0.4694835680751174,50.0,0.23255813953488372
12,Northern Mockingbird,Mimus polyglottos,35.0,0.3630705394190871,118.0,0.9866220735785953,10.0,0.02849002849002849,1.0,0.11961722488038279,121.0,0.8877476155539251,19.0,0.24216161101198064,20.0,0.046620046620046623,221.0,0.44466800804828976,66.0,7.252747252747253,11.0,1.5316067947646894,0.0,0.0,43.0,52.02271577933658,5.0,0.4694835680751174,50.0,0.23255813953488372
13,Domestic Muscovy Duck,Cairina moschata domestica,35.0,0.3630705394190871,118.0,0.9866220735785953,10.0,0.02849002849002849,1.0,0.11961722488038279,121.0,0.8877476155539251,19.0,0.24216161101198064,20.0,0.046620046620046623,221.0,0.44466800804828976,66.0,7.252747252747253,11.0,1.5316067947646894,0.0,0.0,43.0,52.02271577933658,5.0,0.4694835680751174,50.0,0.23255813953488372
14,Red-eared Slider,Trachemys scripta elegans,35.0,0.3630705394190871,118.0,0.9866220735785953,10.0,0.02849002849002849,1.0,0.11961722488038279,121.0,0.8877476155539251,19.0,0.24216161101198064,20.0,0.046620046620046623,221.0,0.44466800804828976,66.0,7.252747252747253,11.0,1.5316067947646894,0.0,0.0,43.0,52.02271577933658,5.0,0.4694835680751174,50.0,0.23255813953488372
15,Plain-bellied Watersnake,Nerodia erythrogaster,35.0,0.3630705394190871,118.0,0.9866220735785953,10.0,0.02849002849002849,1.0,0.11961722488038279,121.0,0.8877476155539251,19.0,0.24216161101198064,20.0,0.046620046620046623,221.0,0.44466800804828976,66.0,7.252747252747253,11.0,1.5316067947646894,0.0,0.0,43.0,52.02271577933658,5.0,0.4694835680751174,50.0,0.23255813953488372
16,Great Egret,Ardea alba,35.0,0.3630705394190871,118.0,0.9866220735785953,10.0,0.02849002849002849,1.0,0.11961722488038279,121.0,0.8877476155539251,19.0,0.24216161101198064,20.0,0.046620046620046623,221.0,0.44466800804828976,66.0,7.252747252747253,11.0,1.5316067947646894,0.0,0.0,43.0,52.02271577933658,5.0,0.4694835680751174,50.0,0.23255813953488372
